KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
42521,4252,1,1,,
42522,4252,1,1,,
425221,42522,1,1,,
425222,42522,1,1,,
4252221,425222,1,1,,
4252222,425222,2,2,,
425223,42522,1,1,,
4252231,425223,1,1,,
4252232,425223,1,1,,
4252233,425223,1,1,,
425224,42522,1,1,,
4252241,425224,1,1,,
4252242,425224,1,1,,
42523,4252,1,1,,
425231,42523,1,1,,
4252311,425231,1,1,,
4252312,425231,1,1,,
4252313,425231,1,1,,
425232,42523,1,1,,
4253,425,1,1,,
42531,4253,1,1,,
425311,42531,1,1,,0
425312,42531,2,2,,
42532,4253,1,1,,
425321,42532,1,1,,
425322,42532,1,1,,0
425323,42532,1,1,,0
4254,425,1,1,,
42541,4254,1,1,,
425411,42541,1,1,,
4254111,425411,1,1,,
4254112,425411,1,1,,
425412,42541,1,1,,
4254121,425412,1,1,,
4254122,425412,1,1,,
42542,4254,1,1,,
425421,42542,1,1,,
425422,42542,1,1,,
4254221,425422,1,1,,
4254222,425422,1,1,,
425423,42542,1,1,,
4254231,425423,1,1,,
42543,4254,1,1,,
425431,42543,1,1,,
425432,42543,2,2,,
4255,425,1,1,,
42551,4255,1,1,,
425511,42551,1,1,,
425512,42551,1,1,,
425513,42551,1,1,,
4256,425,1,1,,
42561,4256,1,1,,
425611,42561,1,1,,
425612,42561,1,1,,
425613,42561,1,1,,
42562,4256,1,1,,
425621,42562,1,1,,
425622,42562,1,1,,
425623,42562,1,1,,
42563,4256,1,1,,
425631,42563,1,1,,
425632,42563,1,1,,
4256321,425632,1,1,,
425633,42563,1,1,,
42564,4256,1,1,,
425641,42564,1,1,,
425642,42564,1,1,,
425643,42564,1,1,,
42565,4256,1,1,,
425651,42565,1,1,,
425652,42565,1,1,,
4257,425,1,1,,
42571,4257,1,1,,
425711,42571,1,1,,
425712,42571,1,1,,0
42572,4257,1,1,,
426,42,2,2,,
4261,426,1,1,,
4262,426,1,1,,
42621,4262,1,1,,
426211,42621,1,1,,
426212,42621,1,1,,
42622,4262,1,1,,
427,42,2,2,,
4271,427,1,1,,
42711,4271,1,1,,
427111,42711,1,1,,
42712,4271,1,1,,
427121,42712,1,1,,
427122,42712,1,1,,
4272,427,1,1,,
42721,4272,1,1,,
42722,4272,1,1,,
427221,42722,1,1,Yes,1984
427222,42722,1,1,,
427223,42722,1,1,,
428,42,2,2,,
4281,428,1,1,,
42811,4281,1,1,,
42812,4281,1,1,,
428121,42812,1,1,,
428122,42812,1,1,,
42813,4281,1,1,,
4282,428,1,1,,
42821,4282,1,1,,
42822,4282,1,1,,
428221,42822,1,1,,
428222,42822,1,1,,
429,42,2,2,,
4291,429,1,1,,
42911,4291,1,1,,
429111,42911,1,1,,
4291111,429111,1,1,,
4291112,429111,1,1,,
4291113,429111,1,1,,
429112,42911,1,1,,
4291121,429112,1,1,,
4291122,429112,1,1,,
4291123,429112,1,1,,
429113,42911,1,1,,
4291131,429113,1,1,,
4291132,429113,1,1,,
42912,4291,1,1,,
429121,42912,1,1,,
429122,42912,1,1,,
4291221,429122,1,1,,
4291222,429122,1,1,,
42913,4291,1,1,,
4292,429,1,1,,
42921,4292,1,1,,
